,name_en,text,type
0,Petition for Help,"Online multiplayer item. Receipt of a plea for
help to the maidens of the Finger Reader.

Summons a Broken Finger Stalker from another
world to face an invading Broken Finger.

Maidens of the Finger Reader speak in hushed
tones about the loathsome, traitorous Broken
Fingers and the dangers of their base invasions. Summons Stalker to face invading Broken Finger",accessories
1,Broken Finger Stalker Contract,"Online multiplayer item. Record of contract with
the maidens of the Finger Reader.

Be summoned to the world of a player who
has been invaded by a Broken Finger.

The Broken Fingers have betrayed the Finger
Reader. They are a cancer that afflicts the
ties that bind the Tarnished to one another.
They must be excised, and eradicated. Be summoned to worlds invaded by Broken Fingers",accessories
2,Crimson Amber Medallion,"A medallion with crimson amber inlaid.
Boosts maximum HP.

The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord.

A primordial life energy resides inside. Raises maximum HP",accessories
3,Crimson Amber Medallion +1,"A medallion with crimson amber inlaid.
Greatly boosts maximum HP.

The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord.

A primordial life energy resides inside. Greatly raises maximum HP",accessories
4,Crimson Amber Medallion +2,"A medallion with crimson amber inlaid.
Vastly boosts maximum HP.

The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord.

A primordial life energy resides inside. Vastly raises maximum HP",accessories
5,Cerulean Amber Medallion,"A medallion with cerulean amber inlaid.
Boosts maximum FP.

The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord.

A primordial life energy resides inside. Raises maximum FP",accessories
6,Cerulean Amber Medallion +1,"A medallion with cerulean amber inlaid.
Greatly boosts maximum FP.

The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord.

A primordial life energy resides inside. Greatly raises maximum FP",accessories
7,Cerulean Amber Medallion +2,"A medallion with cerulean amber inlaid.
Vastly boosts maximum FP.

The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord.

A primordial life energy resides inside. Vastly raises maximum FP",accessories
8,Viridian Amber Medallion,"A medallion with viridian amber inlaid.
Boosts maximum stamina.

The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord.

A primordial life energy resides inside. Raises maximum stamina",accessories
9,Viridian Amber Medallion +1,"A medallion with viridian amber inlaid.
Greatly boosts maximum stamina.

The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord.

A primordial life energy resides inside. Greatly raises maximum stamina",accessories
10,Viridian Amber Medallion +2,"A medallion with viridian amber inlaid.
Vastly boosts maximum stamina.

The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord.

A primordial life energy resides inside. Vastly raises maximum stamina",accessories
11,Arsenal Charm,"An iron charm that resembles a mass of weaponry.
Boosts maximum equipment load.

This talisman was derived from an unusual greatsword once wielded by a hero hungry for vengeance. Raises maximum equipment load",accessories
12,Arsenal Charm +1,"An iron charm that resembles a mass of weaponry.
Greatly boosts maximum equipment load.

This talisman was derived from an unusual greatsword once wielded by a hero hungry for vengeance. Greatly raises maximum equip load",accessories
13,Great-Jar's Arsenal,"A charm that resembles a great jar overflowing with weaponry.
Vastly boosts maximum equipment load.

The great jar grants this talisman to their warriors.
Carry as much as you can—grow big and strong. Vastly raises maximum equip load",accessories
14,Erdtree's Favor,"A talisman depicting a special blessing of the Erdtree.
Slightly raises maximum HP, stamina, and equip load.

It is said that when the Age of the Erdtree began, such blessings were personally bestowed upon their recipients by Queen Marika herself. Raises maximum HP, stamina and equip load",accessories
15,Erdtree's Favor +1,"A talisman depicting a special blessing of the Erdtree.
Raises maximum HP, stamina, and equip load.

It is said that when the Age of the Erdtree began, such blessings were personally bestowed upon their recipients by Queen Marika herself. Raises maximum HP, stamina and equip load",accessories
